NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,count
Oder-Spree,ODER-SPREE---GER,ALL#WORLD#EUR#DEU#BRAND#ODER-SPREE---GER,false,,TERRITORY,DEU,2,DISTRICT,2
Bremen,DE50,ALL#WORLD#EUR#DEU#DE5#DE50,false,,REGION,DEU,2,DISTRICT,2
Rendsburg-Eckernförde,RENDSBURG-ECKERNFRDE-GER,ALL#WORLD#EUR#DEU#SCHLE#RENDSBURG-ECKERNFRDE-GER,false,,TERRITORY,DEU,2,DISTRICT,2
Nemuro,PORT_JPNEM,ALL#WORLD#ASIA#JPN#PORT_JPNEM,false,,PORT_TERMINAL,JPN,1,PORT_TERMINAL,2
Zolotaya Balka,ZOLOT,ALL#WORLD#EUR#UKR#ZOLOT,false,,CITY,UKR,1,CITY,2
Mariveles,MARIV,ALL#WORLD#ASIA#PHL#MARIV,false,,CITY,PHL,1,REGION,2
Gabes,GABE,ALL#WORLD#AFR#TUN#GABE,false,,CITY,TUN,1,GOVERNORATE,2
Biberach,BIBERACH---GER,ALL#WORLD#EUR#DEU#BADEW#BIBERACH---GER,false,,TERRITORY,DEU,2,DISTRICT,2
Tacoma WA,PORT_USTIW,ALL#WORLD#NOAME#USA#PORT_USTIW,false,,PORT_TERMINAL,USA,1,PORT_TERMINAL,2
"Hatay, Kahramanmaraş, Osmaniye",TUR_HAT_KAH_OSM,ALL#WORLD#ASIA#TUR#TUR_HAT_KAH_OSM,false,,REGION,TUR,1,PROVINCE,2
Tokachi,PORT_JPTOK,ALL#WORLD#ASIA#JPN#PORT_JPTOK,false,,PORT_TERMINAL,JPN,1,PORT_TERMINAL,2
Tsu,PORT_JPTSU,ALL#WORLD#ASIA#JPN#PORT_JPTSU,false,,PORT_TERMINAL,JPN,1,PORT_TERMINAL,2
San martin,PORT_ARSMA,ALL#WORLD#SOAME#ARG#PORT_ARSMA,false,,PORT_TERMINAL,ARG,1,PORT_TERMINAL,2
Jambi,JAMBI,ALL#WORLD#ASIA#IDN#JAMBI,false,,CITY,IDN,1,GEOGRAPHICAL UNIT,2
Occitanie,OCCITANIE,ALL#WORLD#EUR#FRA#OCCITANIE,false,,REGION,FRA,1,METROPOLITAN REGION,2
Yanbu,YANKSA,ALL#WORLD#ASIA#SAU#YANKSA,false,,CITY,SAU,1,REGION,2
Northern Hungary,HUN_NORTH,ALL#WORLD#EUR#HUN#HUN_NORTH,false,,NATIONAL_REGION,HUN,1,CAPITAL CITY,2
Podlaskie,POLPL,ALL#WORLD#EUR#POL#POLPL,false,,REGION,POL,1,VOIVODSHIP,2
Van,TRB21,ALL#WORLD#ASIA#TUR#TRB#TRB2#TRB21,false,,DEPARTMENT,TUR,3,DEPARTMENT,2
Timbues,PORT_ARTIM,ALL#WORLD#SOAME#ARG#PORT_ARTIM,false,,PORT_TERMINAL,ARG,1,PORT_TERMINAL,2
Miike,PORT_JPMII,ALL#WORLD#ASIA#JPN#PORT_JPMII,false,,PORT_TERMINAL,JPN,1,PORT_TERMINAL,2
Myrtle Grove LA,PORT_USMYG,ALL#WORLD#NOAME#USA#PORT_USMYG,false,,PORT_TERMINAL,USA,1,PORT_TERMINAL,2
Kuala Tanjung,KTANJUNG,ALL#WORLD#ASIA#IDN#KTANJUNG,false,,CITY,IDN,1,GEOGRAPHICAL UNIT,2
"Kocaeli, Sakarya, Düzce, Bolu, Yalova",TR42,ALL#WORLD#ASIA#TUR#TR4#TR42,false,,REGION,TUR,2,DISTRICT,2
